Date,pH,EC,Temperature,Humidity,LightIntensity,CO2,TDS,Weight,GrowthStage
01-Jan-2024,5.82403202222305,898.588295638459,20.7004641656966,55.2218313117721,352.383274669653,416.617350631224,812.298124284675,-5.84146183664087,0
02-Jan-2024,6.18555199743434,928.649925851324,17.6773553500473,49.6146913234869,266.059287872006,431.319377870447,895.395561136806,-14.0537335138609,1
03-Jan-2024,6.17963662731657,1059.31506718967,22.1176039732468,64.6494822570286,250.276241314918,396.359562913825,961.546509041071,24.5859294855571,2
04-Jan-2024,6.0639403415238,1233.26303082847,17.7983671893313,55.9342601639381,317.286950328727,408.177270812141,681.768174923402,1.95469911225541,0
05-Jan-2024,6.19635356707153,1023.03340862463,23.4498266058697,51.7837586897027,289.210948608307,526.184544330153,939.87552463337,11.0335972231065,1
06-Jan-2024,6.31658368335138,1157.13788127601,24.8968156180224,68.8110861474132,118.777134356685,317.08230147519,900.126670063015,17.6316695514598,2
07-Jan-2024,6.67994853759142,1117.44155977287,29.9594389149078,56.7018315515793,245.649349079426,546.472284022845,1075.21399969398,15.13596996734,0
08-Jan-2024,6.63562174843825,1271.73561388145,20.6293823212087,54.2877677542336,258.091804850271,456.878185030655,1047.23141598518,6.95273787201968,1
09-Jan-2024,6.25667476079809,1071.09357049478,11.1082236528003,57.1499712181167,210.198293478677,495.003040979456,1149.57768519702,13.3228541754814,2
10-Jan-2024,6.72422783903713,1203.2557464165,17.8020562633169,53.2165900508965,552.315539199477,366.791776250647,973.612426415084,18.7511005277689,0
11-Jan-2024,6.51814410252533,1275.25270211122,28.9729716400232,51.5389735900502,178.640598075997,425.498271789739,1000.55970876975,36.7895849150403,1
12-Jan-2024,6.45971405566465,1350.06102178809,17.0392235580787,81.2079975369465,247.427742483482,446.096791811735,1261.55468106109,15.3918430999304,2
13-Jan-2024,6.55325338309121,1414.4211895504,27.4047693487028,74.7439807430988,223.199317645887,486.135784561024,665.26890751685,33.8466846728782,0
14-Jan-2024,6.47222825916425,1288.59311331754,23.420249000016,64.460281273906,163.868150281478,386.489965107476,1019.0827188972,31.0862313994853,1
15-Jan-2024,6.4863330584804,1150.84096893624,30.1834831135947,52.4430531251836,321.164072369109,498.581716320815,895.881110038268,27.6613995787085,2
16-Jan-2024,6.6487565622993,1245.76981627401,13.3955000031748,56.0762557555616,318.88946551011,419.357640016277,1103.48303945847,21.4302725403987,0
17-Jan-2024,6.63673585420628,1233.841826668,22.4115088701292,62.0877270861484,599.510877163614,488.309502421231,1339.73585240972,31.1585904537384,1
18-Jan-2024,6.62864305678206,1595.0457224002,17.560772573701,70.3313284930291,342.646288622943,522.617794433069,1405.14542984835,35.1330971754069,2
19-Jan-2024,6.54029975720452,1318.43981185331,38.3400401536468,53.843964629478,230.367988066601,511.352998358854,1067.01127146397,23.3060492551364,0
20-Jan-2024,6.33390002114434,1474.8076783704,28.1260944711425,46.3610627535594,640.518594718007,554.131675211838,1205.78601746337,41.9218224487079,1
21-Jan-2024,6.50332854845732,1400.75814894117,31.0948598895831,53.9072216572901,595.201872033617,555.303855540953,1357.40497482601,33.7770672370983,2
22-Jan-2024,6.56727173082627,1528.86104254207,19.1090987100632,68.6680866645264,385.556032355523,477.454613170112,1301.62732484929,43.0575941204028,0
23-Jan-2024,6.42174198311954,1383.51507634321,22.2569220944969,69.6308288354632,204.076044403042,527.852807871698,1450.3637110522,49.3621334095424,1
24-Jan-2024,6.44120089126736,1339.77310306612,23.4376529537491,70.6134353514259,373.305827532952,472.781109679789,1499.98618859116,38.9534594075316,2
25-Jan-2024,6.3719245853903,1357.76240749085,30.4921230894431,66.4577227748342,426.608844641285,458.910573930372,1264.00768821197,47.117436387943,0
26-Jan-2024,6.22740659343213,1568.81939098599,23.8106403360618,69.4695127668955,501.41023808973,576.241296674685,1444.63394681415,55.5006275753418,1
27-Jan-2024,6.24307708682658,1522.26248433812,28.9077072908164,64.6907758670474,430.825453133528,535.002492453763,1083.58108016769,35.641408574957,2
28-Jan-2024,6.08876579470209,1540.39465121927,15.3409185004443,75.8961728924554,546.513286935614,537.25405426953,1769.07234210369,66.3597590824548,0
29-Jan-2024,6.20846422778276,1721.93101506426,24.0307500111278,58.606444233034,548.784131414867,590.556363282693,1444.18184780117,82.2446114493936,1
30-Jan-2024,5.95585299333302,1629.15843739842,21.8820673742157,73.6402364515547,312.398163976039,579.729184870453,1359.23000519956,69.5940050940798,2
31-Jan-2024,5.91390328539984,1639.78110534644,18.314714886004,63.7103249605307,367.805861650285,572.510058693727,1579.21106331544,58.8422800499059,0
01-Feb-2024,5.88986305884372,1798.76990899741,28.9398732545297,68.3209044882876,408.834085908938,622.51256141525,1374.27062707358,68.286226798594,1
02-Feb-2024,5.62669873672889,1579.55340436505,28.0099203183528,75.9222667675564,453.827367458274,611.489472927886,1685.82847645968,55.6401522148661,2
03-Feb-2024,6.01606747826809,1749.66244158496,26.9673994112223,80.3127252280397,491.913674009964,581.988162852929,1607.86700069436,86.7786546049586,0
04-Feb-2024,5.85712744010081,1783.50881650727,20.3316102828595,63.5588905338783,551.870356204243,540.481944844439,2185.55574183683,79.4070440335213,1
05-Feb-2024,5.7032469464356,1695.6284859622,32.8374613917079,83.0852696729672,105.623398789378,547.422317912486,2007.69307746592,79.8734577993525,2
06-Feb-2024,5.87211178355528,1761.56700864037,29.1508970530166,78.7811451283758,501.447803869263,644.605093526563,1310.6226993631,65.2412573804333,0
07-Feb-2024,5.52291941264327,1643.4156068518,26.1046698483351,73.4570755716585,766.367260958611,509.408480566109,1928.26538634552,79.1994913438233,1
08-Feb-2024,5.64589267579946,1665.20472211014,27.9144489637582,72.93823041681,429.994790152288,593.776903168204,1590.37242483779,72.417057151491,2
